,fraction,score_undirected,score_directed
0,0,0.0365778316841781,0.0524223481085078
1,0,0.0172029721917183,0.0342040577158921
2,0,0.0511496840617945,0.0559225179315215
3,0,0.0842623592025464,0.0884454856273047
4,0,0.0333770440004583,0.0410852681463656
5,0,0.0529897854066833,0.0576029173042957
6,0,0.0990987509305755,0.110307601295807
7,0,0.0491966186212948,0.0562960908465273
8,0,0.0305374849871781,0.0418215194512794
9,0,0.0195738614051975,0.0361178202186628
10,0.2,0.0492993492160946,0.0723436164030598
11,0.2,0.0329343216457125,0.0368745085066386
12,0.2,0.072557262964174,0.0679613962514654
13,0.2,0.0405160599335083,0.0464998072574058
14,0.2,0.0309929693770604,0.0419675771062765
15,0.2,0.0852213084314233,0.0867044375528004
16,0.2,0.0937059444638904,0.10701625936237
17,0.2,0.0789093822417343,0.090932987837986
18,0.2,0.0429456543102286,0.036864592517555
19,0.2,0.0668325495177726,0.0643845655858828
20,0.4,0.0908875581507523,0.0822959765779621
21,0.4,0.0691423287763574,0.0780607944848306
22,0.4,0.0985379557366464,0.106081842612528
23,0.4,0.0529844671562618,0.0288160273338165
24,0.4,0.0608187100203703,0.0544614960694725
25,0.4,0.0698297422927883,0.0744282154234698
26,0.4,0.0969047692128979,0.0830826408286344
27,0.4,0.138109499909513,0.108928138078833
28,0.4,0.0836539406862056,0.0813916611101181
29,0.4,0.0689037746133534,0.0930085808196673
30,0.6,0.106024665641048,0.12328727861095
31,0.6,0.0702977247455706,0.0677591671694034
32,0.6,0.110589297909997,0.0865821289109479
33,0.6,0.161527131267864,0.12397876628034
34,0.6,0.108474238699906,0.0721847858986157
35,0.6,0.10533854426827,0.121699434620595
36,0.6,0.0850925585052811,0.0867926818333282
37,0.6,0.0604951545402578,0.0701225669868933
38,0.6,0.0409037338685239,0.0636882194936533
39,0.6,0.087081473156281,0.0574146879446605
40,0.8,0.110160774515053,0.0942696136709755
41,0.8,0.0933169504822757,0.0612753161178783
42,0.8,0.0686673732659618,0.079540215100079
43,0.8,0.143965388492543,0.119885554150579
44,0.8,0.109138635078721,0.0855135863116426
45,0.8,0.0635605272532278,0.0822568945148177
46,0.8,0.103550286713095,0.089777434395381
47,0.8,0.1077579958783,0.0927314551606466
48,0.8,0.144687739903371,0.120672428293141
49,0.8,0.0696633984006025,0.0867647305042555
50,1,0.128041313972068,0.111275828359656
51,1,0.128041313972068,0.111275828359656
52,1,0.128041313972068,0.111275828359656
53,1,0.128041313972068,0.111275828359656
54,1,0.128041313972068,0.111275828359656
55,1,0.128041313972068,0.111275828359656
56,1,0.128041313972068,0.111275828359656
57,1,0.128041313972068,0.111275828359656
58,1,0.128041313972068,0.111275828359656
59,1,0.128041313972068,0.111275828359656
